lng	lat	count
120.460396	36.43653	1
120.18044	35.950884	1
120.491586	36.169375	1
120.1628	36.0643	1
120.3974	36.2957	1
120.116231	36.031613	1
120.4479	36.4057	1
120.4629	36.1049	2
120.538726	36.662728	1
120.35297	36.236252	1
120.4246	36.4201	2
120.490329	36.394799	1
120.222775	36.262411	1
120.0248	36.7392	2
120.4315	36.3492	1
120.4721	36.3103	1
120.423545	36.176133	1
120.3433374	36.0569431	1
120.470856	36.468295	1
120.159847	36.0041756	3
120.408928	36.303043	1
119.7626	35.6988	1
120.15635	36.355711	1
120.14433	36.0655021	2
120.1087	35.9273	1
120.4441187	36.1065039	1
120.1636914	35.9730607	1
120.0501	35.8822	1
120.52593	36.406185	1
120.3424786	36.2635878	1
120.0631	36.2512	1
120.4675724	36.385092	1
120.6153	36.3379	1
120.015274	36.082881	1
120.1731	35.9891	1
120.3958	36.7399	1
120.4023638	36.2546284	1
120.385	36.7611	1
120.35042	36.126712	1
120.483336	36.146689	1
119.551	35.7098	1
120.46679	36.286811	1
120.5349	36.6772	1
120.4804	36.3173	1
120.437048	36.234732	1
119.9571	36.7509	1
120.176358	36.3307229	1
120.4778	36.4401	1
120.4225	36.1696	1
120.039654	35.901433	1
120.772	36.537	1
120.3302	36.2605	1
120.1073	36.4097	1
120.2766	36.3173	1
120.2374379	35.9706047	1
120.362821	36.153746	3
120.410234	36.074088	1
120.033097	35.883911	1
120.3662	36.1241	1
120.3669	36.088	1
120.457452	36.422537	1
119.9565	36.2489	1
120.2206204	35.9678285	1
120.3160105	36.2632737	1
119.9487571	36.7360002	1
120.1513	36.0078	1
120.178772	35.975164	1
120.1302	36.5439	2
120.4281996	36.1545901	1
120.4428958	36.1137145	1
120.018666	35.886675	1
120.0313	36.3967	1
119.9123	36.7693	15
120.166	36.0222	1
120.1318	36.5349	9
120.007071	36.28133	1
120.226034	36.323194	1
120.3807	36.1887	1
120.415147	36.173386	2
120.4612752	36.1005032	1
120.5324	36.8176	1
120.527737	36.387965	1
120.3556	36.3258	1
120.492933	36.880203	1
120.4265706	36.0994024	1
120.2548	36.3039	1
120.393337	36.295683	1
120.427777	36.25003	1
120.3688	36.0802	1
120.006547	36.2674604	1
120.5356	36.1201	1
120.1593	36.0208	1
120.2887931	35.982188	1
120.001561	36.419404	1
119.9922	36.2865	1
120.1343384	36.0170969	1
120.835835	36.597423	1
120.154891	35.946002	1
120.4556	36.3192	1
120.3794954	36.0895462	1
120.1851	35.9541	1
120.42	36.2156	1
120.490466	36.157441	1
120.3994	36.0945	1
120.4002	36.3271	1
120.0128	35.8739	2
120.471747	36.098717	1
119.908588	36.263618	1
120.236493	36.254775	1
120.0056	36.779	1
120.014816	36.060157	1
120.4331066	36.3284573	1
120.306328	36.061162	4
119.66124	36.867004	1
120.1395926	36.5451902	1
120.485807	36.398801	1
120.4227	36.3025	1
120.4212267	36.1623215	2
120.010672	35.892655	1
120.447456	36.175342	1
120.4605542	36.3720654	1
120.52128	36.428916	1
120.5425548	36.876961	1
120.3558	36.0849	1
119.991	36.2925	1
120.5947	36.8141	1
120.158745	36.366397	1
120.1681	36.2402	1
119.983343	35.863253	1
120.3738	36.0857	1
120.3731277	36.319158	1
120.004693	35.841389	1
120.158927	36.352635	7
119.6815	36.801	1
120.2686757	36.3455688	1
120.101303	36.100745	1
120.355127	36.286801	1
120.5512	36.3622	1
119.6991	36.1181	1
120.4079932	36.073403	1
120.115907	36.023633	1
120.8799	36.3918	1
120.5246	36.63	1
120.376927	36.063879	1
120.3932	36.1143	1
120.416085	36.153286	1
120.1232	36.0888	1
119.9334	36.2461	1
120.1505	35.9989	1
119.9162	36.1447	1
120.69108	36.356511	1
119.943237	36.740459	1
120.006257	36.062475	1
120.383076	36.317642	1
120.413	36.0609	1
120.1929517	35.9583385	1
119.75	36.7934	1
120.3772	36.0856	2
120.143471	35.92757	2
120.702423	36.471806	1
120.3520809	36.1182254	1
120.4035	36.0853	1
120.1599	35.9634	1
120.1219227	36.0063816	1
120.404705	36.077539	1
120.3061	36.2705	3
120.256	36.0138	1
120.0042673	35.8740677	1
120.0275336	36.2595009	1
120.0118726	36.0638968	1
120.0508	36.3214	1
120.018881	36.2375749	1
120.35117	36.26684	1
120.426398	36.155379	2
120.0281	35.9281	1
120.066168	36.084223	2
120.285	36.3582	1
120.4249	36.1134	2
119.9730493	36.2598606	1
120.4698	36.3102	1
120.0326427	35.9025269	1
120.7145	36.6062	1
120.6274	36.307	1
120.1716	35.9731	1
120.3939705	36.2954232	2
120.3412	36.2317	1
120.3407842	36.0861141	1
120.4310777	36.148083	1
120.1362283	35.9753488	1
119.9908919	36.278852	1
120.411515	36.102431	1
119.9442	36.2412	1
120.314951	36.815594	1
120.506626	36.3885881	1
119.98382	36.748828	1
119.7504332	35.6430743	1
120.4418015	36.0691908	1
120.452924	36.261604	1
120.005875	35.873986	1
120.393947	36.404187	2
120.3492502	36.3797358	1
120.1435544	35.9998907	1
120.43765	36.1469	1
119.9841957	36.3000754	1
119.9553	35.9024	1
120.3109022	36.4413609	1
119.752281	35.646281	1
120.1004	35.9219	1
120.235807	36.2616	1
120.3894	36.1495	3
120.3597	36.089	1
120.4255	36.3463	1
120.1435	36.0085	1
120.3308	36.3133	1
119.640142	36.758089	1
120.68689	36.198198	1
119.990764	35.88152	1
120.3834	36.095	5
120.3582	36.2631	1
120.4261	36.2976	1
120.140901	36.010748	1
120.1644	35.9932	1
119.7268	36.128	1
120.162	36.0075	1
120.40007	36.8436225	1
120.4476	36.4289	1
120.3616165	36.1157693	1
120.2901	36.0021	1
120.1759	35.9716	1
120.4348	36.1316	1
120.051677	36.266655	1
119.9582	35.9743	1
120.2363	35.9632	1
120.478523	36.102344	1
120.1926419	35.9723668	1
120.3601828	36.0807175	1
120.663351	36.367856	1
120.3487386	36.3788203	1
119.9743601	36.3613845	1
119.638	36.7222	1
120.013642	36.311498	1
120.0017209	36.2792209	1
119.8352	36.9914	1
120.164892	35.993496	1
120.329	36.2597	1
120.213712	36.268518	1
120.159287	35.924837	1
120.44233	36.238799	1
120.263779	36.450689	1
120.1397	35.9981	1
120.4349	36.07	1
120.524	36.3088	1
120.4988	36.8871	1
120.38268	36.289267	1
120.4677	36.0928	1
119.9467868	36.2653095	1
120.1491903	36.0133396	1
120.1316	35.9266	1
120.4356293	36.143795	1
120.356812	36.324439	1
120.1547	36.2612	1
120.081541	36.512207	1
120.2187	36.7022	1
120.023658	35.888954	1
120.361	36.0999	1
120.4167	36.3084	3
120.3305	36.2715	1
120.0705	36.5088	1
120.1525705	35.9453893	1
120.342	36.0903	5
120.032931	36.266119	1
120.6741	36.3424	1
120.382859	36.320099	1
120.2782	36.3723	1
120.393	36.0721	1
120.4413593	36.1008382	1
120.2760704	36.3214339	1
120.0298	36.2939	1
120.1756169	35.9665205	1
120.3944	36.0851	1
120.4232503	36.1237389	1
119.73502	36.618047	1
120.4841	36.391	1
120.3442952	36.2396685	1
119.985937	36.256481	1
120.458384	36.544152	1
119.9903727	36.7856418	1
120.407816	36.121491	1
120.4172238	36.4670977	1
120.4049	36.1688	1
120.0575	36.293	1
120.1857	35.9667	1
120.4076	36.2901	1
120.3788	36.066	1
120.4298	36.1878	1
120.428621	36.153053	1
120.3080754	36.0650057	1
120.3429	36.0815	1
119.962335	36.368379	1
120.4004	36.0994	1
119.6683	36.8426	1
120.024166	36.230052	1
120.3463	36.257	1
120.1531028	35.9693462	1
120.1516691	36.0190592	1
119.9412	36.7916	1
119.941409	36.262638	1
120.4848	36.2851	1
120.391969	36.073023	1
120.054	35.9357	1
120.098418	36.3597011	1
120.1632	36.0674	1
120.0477	36.43	1
120.4988	36.3292	1
120.39916	36.32391	1
120.4187	36.1985	2
119.8611	36.8104	1
120.1431	36.0522	2
120.145261	36.2559364	2
120.433641	36.1063957	1
120.0735	35.9366	1
120.310562	36.063812	1
120.348515	36.334971	1
120.059244	36.787822	1
120.3583	36.2958	1
119.6696	35.6292	1
119.988905	35.903987	1
120.28331	36.184816	1
120.447017	36.119326	1
120.4467	36.1707	1
120.0344	35.7774	1
120.4313675	36.4132571	1
119.951154	36.739316	1
120.2324	36.2908	2
120.361767	36.315868	1
120.0433	35.8833	2
120.3011	36.0605	1
120.101338	36.165933	1
120.3884	36.1766	1
120.3613	36.3787	1
120.2725871	36.2649053	1
119.962445	36.303487	1
120.006253	36.769391	1
120.3621509	36.2185772	1
120.650757	36.341709	1
120.5034	36.889	1
120.3108314	36.2723996	1
120.444361	36.165925	3
120.0295	36.2413	1
120.0929628	36.3606996	1
120.4263	36.3873	1
120.156613	36.2348006	1
120.4044	36.2555	2
120.3561	36.3289	1
120.3841292	36.0646086	1
120.4282937	36.3493199	1
120.39377	36.083205	1
120.4909	36.371	1
120.367137	36.099991	1
120.2777	36.3245	1
120.5352357	36.8205238	1
120.379757	36.299741	1
120.333167	36.082695	1
120.4141	36.3017	1
120.4069	36.3054	1
120.4343	36.3247	1
120.0097	36.2368	1
120.5179	36.8918	1
120.4059858	36.2025694	1
120.4241	36.4864	1
120.486249	36.315091	1
120.101522	36.165901	1
120.4234749	36.1647995	1
120.374015	36.712155	1
120.3826	36.1166	1
120.000011	35.915822	1
120.4535	36.2699	1
120.2624	36.2582	1
120.3709	36.3572	1
120.4845527	36.4011084	1
120.2403	36.288	1
120.392611	36.295761	1
120.3447331	36.2312014	1
120.3667206	36.0855764	1
120.3656	36.2599	1
120.301027	36.338316	1
120.544755	36.856566	1
120.430131	36.305051	1
120.4512	36.1124	1
120.3857883	36.3209806	1
120.094669	36.214477	1
120.4592	36.3925	3
119.9971	36.5278	1
119.85774	36.275502	1
120.1415	36.0903	1
120.3984389	36.069697	1
120.3634041	36.1047138	1
120.4192019	36.168641	2
120.0945	36.3603	1
120.4078139	36.2899555	1
119.9615	36.7874	1
120.407098	36.152405	1
120.4936808	36.3071099	1
119.5971	36.9342	1
120.402321	36.303498	1
119.7192	36.130864	1
120.3851	36.1198	1
119.7871411	36.1440053	1
119.5737	36.7952	1
120.649855	36.306992	1
120.402308	36.069285	1
119.890881	36.733994	1
120.148696	36.001957	1
120.3781	36.0908	1
119.923136	36.258187	1
120.347	36.2681	1
120.0648006	36.2155713	1
120.2408	36.2881	1
119.9704	36.824	1
120.1813	35.9783	1
119.937117	36.7806307	1
120.4588	36.39	1
120.38911	36.111376	1
120.352211	36.08026	1
120.3914	36.31	1
120.131489	35.9366357	1
120.72155	36.572895	1
120.1093	36.7452	1
120.01083	36.288773	1
119.725662	36.128122	1
120.4207964	36.1228155	1
120.397669	36.338724	1
120.4209	36.109	1
120.434296	36.217742	1
120.440527	36.312363	1
119.988729	36.781414	1
120.3776	36.0643	1
120.0655	36.2866	1
120.0214	35.8115	1
120.2434174	35.9811163	1
120.488939	36.176059	1
120.338	36.760782	1
120.0082	36.2829	1
120.52767	36.86459	1
120.0111808	36.2672616	1
120.3897	36.3543	1
120.677589	36.351054	1
120.1340622	36.0365148	1
119.863908	35.626563	1
120.144762	36.352495	1
120.423023	36.301089	1
120.302413	36.314095	1
120.4442	36.2915	1
120.436583	36.184847	1
120.2284	36.0533	1
120.436	36.3957	1
120.3159	36.3633	1
120.187283	35.943925	1
120.0382	36.2538	1
120.3723161	36.099283	1
120.4581	36.0868	2
120.011704	36.062531	1
120.3829175	36.0589846	1
120.4358	36.1632	1
119.8701302	36.2999363	1
119.9937	36.0288	1
120.462041	36.27491	1
119.819514	36.225227	1
120.2596	36.2957	1
120.0584	36.0881	1
120.240367	36.679732	1
120.2012	35.9581	1
120.3695	36.2691	1
120.4649	36.1024	1
120.683308	36.191497	1
120.026785	36.092557	1
120.4184923	36.0959855	1
120.0122	36.2868	1
120.352684	36.117137	1
120.454664	36.115122	1
120.1397795	35.9910362	1
120.059273	36.240833	1
120.029648	36.257429	1
119.5592	36.759	1
120.3208	36.0643	1
120.1611	35.9501	1
120.2295	35.953	1
120.3118	36.263	1
120.334792	36.316265	1
120.436302	36.316149	2
120.2841954	36.2886504	1
120.13955	36.074748	1
120.3642	36.1226	1
120.372468	36.393895	1
119.959329	35.901721	1
120.41618	36.158009	1
120.4176454	36.141671	1
120.43903	36.402457	1
120.4624	36.0933	1
120.4173	36.3211	1
120.1555089	35.9470478	1
120.414332	36.130897	1
119.947921	36.786152	1
120.4876164	36.1693861	1
120.4287641	36.2323267	2
119.8918	36.1909	1
119.9911816	35.8846213	1
120.3727	36.2999	2
120.417141	36.212163	1
120.0870466	36.4328112	1
120.1388	36.6731	1
120.1577911	36.2490639	1
120.4442	36.4127	1
120.391767	36.30026	3
120.0740877	35.9031708	1
120.4173	36.3092	1
120.0072	36.7745	1
120.153426	36.052319	1
120.4432	36.3937	1
120.391658	36.373435	1
120.365309	36.083823	1
120.5369	36.8749	1
120.139649	36.545281	1
120.4766338	36.1747062	1
119.985155	36.269172	1
120.172	35.9881	1
120.4221574	36.2411591	1
120.141198	36.546067	1
120.235999	35.972418	1
120.3167952	36.0697876	1
120.4219	36.1747	5
119.630665	35.672731	1
120.0119	36.3219	1
120.1694	36.41	1
120.0478	35.9058	1
120.39464	36.0655396	1
120.019529	35.83592	1
120.044633	36.257159	1
120.155641	35.987599	1
120.2927	36.8545	1
120.0556158	35.8732484	1
120.2959	36.0596	1
119.9856	36.3002	1
120.1401	36.5517	1
120.152926	36.015144	1
119.9588	36.7939	1
120.4112	36.3055	1
120.435011	36.166361	1
120.2318	36.4848	1
120.5449	36.3941	1
120.3790039	36.0658577	1
120.0169	36.7827	1
120.4489	36.4546	1
120.3634	36.2948	1
120.505113	36.312237	1
120.389225	36.292777	1
120.127644	36.543573	2
120.4079994	36.1023684	1
119.767	36.9814	1
120.4692	36.1037	1
120.327796	36.32115	1
120.432477	36.163904	1
120.388116	36.282665	1
120.4541	36.3924	1
120.3628	36.3082	1
120.4046859	36.346614	1
120.071388	36.089932	1
120.4529	36.3197	1
120.41481	36.11102	1
120.026362	35.843528	1
120.411225	36.397086	1
120.4447	36.3945	1
120.3363628	36.4030206	1
120.3503925	36.7031784	1
120.402531	36.27429	1
120.534901	36.8192391	1
120.3448	36.2328	1
120.10957	35.924877	1
120.4831	36.1495	1
120.0101603	35.8022469	1
120.463688	36.407768	2
120.6945	36.4624	1
120.535473	36.859214	1
120.1532	35.9989	1
120.5109456	36.3963485	1
120.353195	36.266708	1
120.387365	36.065408	1
120.38123	36.087604	1
120.3616	36.1345	1
120.446028	36.382676	1
120.446199	36.104403	1
120.402548	36.1871153	1
119.893076	35.734239	1
120.3916	36.3316	1
120.3883	36.0736	2
120.062842	35.900098	1
119.8567	36.8339	1
120.213596	36.042064	1
120.388356	36.09203	1
120.407754	36.270609	1
120.0984128	36.3601557	1
120.3422607	36.263348	1
120.3969713	36.2737261	1
119.9519	36.747	1
120.460215	36.303384	1
120.1526028	36.0780469	1
120.0171	35.7461	2
120.411328	36.122067	1
119.796571	36.651863	1
120.393304	36.06955	1
120.3791786	36.0832704	1
120.4674	36.7053	1
119.9531	36.3604	1
120.0548142	36.2577943	1
119.8387	36.8322	1
120.0069659	36.2849287	1
120.4672	36.3969	1
120.395296	36.123716	1
120.16437	35.994129	1
120.4146	36.3163	1
120.4139	36.142	1
120.1329	36.5465	1
120.462239	36.275083	1
119.999173	36.315922	1
120.4365	36.1522	1
120.1658	36.0274	1
120.400141	36.337321	1
120.138235	36.532901	1
119.9913	36.7705	1
120.430438	36.076199	1
120.1845201	35.9914076	1
119.959368	36.257044	1
120.1574	36.0092	1
120.377635	36.292067	1
119.9356	36.2911	1
119.76331	36.571495	1
120.4249	36.3287	1
120.1624	35.9645	1
120.227	36.4897	1
120.4246544	36.366617	1
120.3843	36.3003	1
119.8211553	36.7955515	1
120.279946	36.370589	1
119.972612	36.359719	1
120.363726	36.103682	1
119.9576	35.8546	1
120.363987	36.122506	1
120.5414	36.8948	1
120.3896802	36.143504	1
120.4245	36.1618	1
120.414	36.125	1
120.4948	36.5224	3
120.495626	36.176531	1
120.327561	36.320794	1
120.237457	36.205259	1
120.594774	36.121796	1
120.367501	36.09591	1
120.3644	36.0855	1
120.3838	36.088	1
119.71	36.9979	1
120.3974	36.1157	1
120.525942	36.31852	1
120.360849	36.124382	1
120.175877	35.98964	1
120.423771	36.09301	1
120.1821	35.9692	1
120.2095	36.0181	1
119.6829	36.1194	1
120.4047111	36.4045576	1
120.014887	35.745395	1
120.450221	36.405649	1
120.3893791	36.0967858	1
120.2056	35.9596	1
120.3457403	36.0740169	1
120.158448	36.342503	1
120.3443	36.0873	2
120.272576	36.390804	1
120.3764	36.0653	1
120.3772	36.2962	1
120.394749	36.114233	1
119.72743	36.622506	1
120.1627314	35.9507102	1
120.4072	36.2519	2
120.4727	36.1414	1
120.103376	35.92638	1
120.6872	36.2057	1
120.435858	36.306309	1
120.200674	35.946662	1
120.2705	36.2549	1
120.073457	35.932975	1
120.3058	36.2655	1
120.1255105	35.9973513	1
120.4144	36.391	1
120.0254	36.2231	1
120.3944895	36.243466	1
120.4546	36.0844	1
120.518628	36.481776	1
120.4014	36.3047	1
120.1207	36.0183	1
120.4786461	36.3077686	1
120.1798	35.9425	1
120.3616	36.3087	1
120.3319	36.3146	1
119.876843	35.819236	1
120.3543	36.367	1
120.403	36.1167	1
119.8755564	35.6337221	3
120.485745	36.193667	1
120.469725	36.103691	1
120.3810927	36.0969057	1
119.940719	36.793609	2
120.179306	36.398329	1
120.362515	36.128876	1
120.0324	35.9138	1
120.663864	36.431508	1
120.4375	36.2745	1
119.9858	36.2668	1
120.3544	36.0831	2
119.98935	36.2737166	1
120.323301	36.578304	3
119.9139	36.7673	3
120.3730737	36.061952	1
119.9351	36.2881	1
120.1283	36.5455	1
120.019337	36.2838072	1
120.1212	36.5695	1
119.713338	36.13725	1
120.401032	36.06953	1
120.533887	36.817981	1
119.614162	36.992069	1
120.50559	36.162131	1
120.1494857	36.0019146	1
120.0135447	35.8970934	1
120.469076	36.145176	1
120.3418159	36.0579264	1
120.396968	36.064324	1
120.4537	36.1366	1
120.3150616	36.0790484	1
120.3756961	36.2991702	1
120.5311399	36.6272843	1
120.3929	36.3823	1
120.1644	36.3758	1
120.364301	36.12241	1
120.531	36.5289	1
120.0973	36.2928	1
120.073194	36.143204	1
120.327625	36.081741	1
119.981039	36.368218	1
120.149315	36.010617	1
120.39169	36.069648	1
120.3834	36.3307	2
120.4243	36.1722	1
119.7272	35.9429	1
120.4629	36.2345	1
120.2814	36.4472	1
120.395	36.2116	1
119.9373	36.0752	1
120.1405	36.5197	1
120.1451	36.9939	1
120.0014	36.5693	1
120.439251	36.17271	1
120.464	36.39	1
120.4	36.3512	1
119.9037945	35.6938205	1
120.579455	36.900049	1
120.529214	36.852786	2
120.084272	36.651889	1
120.4367722	36.3056017	1
120.342599	36.238998	1
120.4146815	36.1420429	1
120.5063	36.3445	1
119.964893	36.257791	1
120.4339686	36.3492296	1
120.1313	36.5319	1
120.419	36.2927	1
120.167	35.973	1
120.428931	36.075734	1
120.389784	36.109874	1
120.0147	36.2882	1
120.3511	36.1193	1
120.4159578	36.2523706	1
120.3007	36.0664	1
120.394752	36.213486	2
120.3892	36.2864	1
120.123753	36.017673	1
120.461	36.1645	1
120.080356	36.450152	1
120.1969	35.9555	1
120.3817	36.5818	1
120.3803887	36.101065	1
120.425517	36.397571	1
120.149395	36.351053	1
120.4595	36.2594	1
120.147093	36.808282	1
119.9737	36.0788	2
120.1266	36.0088	1
119.940271	36.7957932	1
120.150887	36.004114	1
120.162017	35.958839	1
120.4785229	36.1702889	1
120.4226	36.1589	1
120.3732	36.3942	1
120.163027	35.935181	1
119.716267	36.725967	1
120.161824	36.037905	1
120.5102	36.4709	1
120.4896	36.1701	1
120.389401	36.187689	1
120.017121	36.082407	1
120.076521	36.217419	1
120.1538	35.989	1
120.337229	36.2974	1
120.282058	35.981599	1
119.667	36.9836	1
120.159225	35.9906708	1
120.450135	36.114577	1
120.192174	36.409414	1
120.5026438	36.4382867	1
120.4379905	36.1381155	1
120.5197	36.3176	1
120.0693	36.6911	1
120.2274	36.907	1
120.494139	36.169195	1
120.00703	36.26653	1
120.1391569	36.5473074	1
120.3984139	36.3353589	1
120.3412	36.3129	1
120.2891	35.9832	1
120.419784	36.422237	1
120.4899696	36.1695806	1
120.311238	36.065968	1
120.398	36.1256	1
120.2262	36.4287	1
120.328189	36.323052	1
120.8776	36.3922	1
120.0978	35.9047	1
119.77547	36.092882	1
120.4444	36.12	1
120.195823	35.949002	1
120.49927	36.30795	1
120.0111	36.7684	1
120.4139	36.1387	1
120.158195	36.021838	1
120.697979	36.398291	1
120.167	36.4141	1
120.1621	36.059	1
120.367583	36.10815	1
120.184904	35.977294	1
119.7729	36.9374	1
120.4291469	36.2356087	1
120.494113	36.175638	1
120.34535	36.381452	1
120.3381066	36.0751359	1
120.2996558	36.3384771	1
120.00812	36.251506	1
120.3379	36.0863	1
120.624027	36.482479	1
120.37525	36.106356	1
119.991432	36.7701717	1
119.926292	35.793926	3
119.9961	35.8547	1
119.998522	36.286611	1
119.9845	35.8351	1
120.1127824	36.1739733	1
120.6017	36.4547	1
120.016908	35.901821	1
120.0387	36.4249	1
120.4315856	36.1552029	1
120.1387	36.5338	1
120.4043	36.1776	1
120.0566	36.2522	1
120.153528	35.999138	1
120.451226	36.365823	1
120.166912	35.973154	1
120.5188403	36.7911385	1
120.4359	36.4187	1
120.5050776	36.4141721	1
119.926627	36.265311	1
120.4385	36.3837	1
120.3335	36.3314	1
120.173222	35.978857	1
120.3449371	36.2301763	1
120.5176	36.8892	9
120.3825	36.0689	1
120.287716	36.001995	1
120.1087	35.9229	1
120.3447	36.2305	1
120.16419	35.972336	1
120.0188	35.9256	1
119.9904	36.2761	2
120.440537	36.152315	1
120.3924	36.0724	1
120.162691	36.219381	1
119.9694	36.4145	1
120.4481	36.1217	1
120.0029	35.8902	1
120.469359	36.099717	1
120.409194	36.170625	5
120.3914689	36.1417944	1
120.3400635	36.2344795	1
120.467	36.3948	1
120.466	36.1267	1
119.9349	36.7713	1
119.9002	35.799	2
120.4227	36.1609	1
120.476	36.307	1
120.3505802	36.1050407	1
120.3758455	36.0748277	2
120.4439	36.3073	1
120.1615	35.9458	1
119.9435	36.6275	1
120.276314	36.319882	1
120.2152	36.0353	1
119.907784	35.870747	1
120.2871	35.9813	2
120.4605	36.2615	1
120.3332	36.0829	1
120.549879	36.243134	1
120.207859	36.026069	1
120.5238778	36.9049569	1
120.3125	36.3494	1
120.2430227	36.3226451	1
120.000948	36.282276	1
120.4743009	36.3925789	2
120.3642	36.2873	1
120.4501	36.1351	1
120.447691	36.390217	9
120.1547635	35.9821875	1
120.3922952	36.0666962	1
120.003	36.0779	1
120.3706	36.0976	1
120.229081	36.046411	2
119.9581	35.9742	2
120.38059	36.137684	1
120.180841	35.967398	1
120.067308	36.307816	1
120.299448	36.339958	1
120.0071954	36.2663015	1
120.2946	36.6319	1
120.0538	36.2929	1
120.163083	35.984107	1
120.3442	36.2466	1
120.3264591	37.065937	1
120.3363186	36.2609408	1
120.0746	36.0636	1
120.0739	36.2944	1
120.348984	36.268555	4
120.070616	36.840441	1
119.906104	36.129764	1
120.0377	36.2634	1
119.9566854	36.7905301	1
120.332308	36.301804	1
120.3938	36.0685	1
120.24446	36.310867	1
120.197906	35.960526	1
120.010558	35.801644	1
120.0541954	36.3029107	1
120.3228	36.0718	1
120.357	36.1088	1
120.4755089	36.1793772	1
119.978506	36.795435	1
120.153184	36.077971	1
119.962719	36.78896	1
120.4567	36.0851	3
120.0123	36.0634	1
120.3787	36.2886	1
119.9461	36.775	1
120.4729	36.4409	1
120.0104	36.0591	1
120.003789	35.953848	1
120.0161	36.2823	1
120.4071	36.2346	1
120.4191482	36.1583689	1
120.0770955	36.2551386	1
119.663731	36.118472	1
119.916243	36.806264	1
120.4766	36.3087	1
120.4302	36.794	3
120.2415	36.7302	2
120.467883	36.164051	1
119.983231	35.836317	1
119.9091	36.1387	2
119.9418	36.2624	1
120.2151	36.0378	10
119.9421216	35.87101	1
120.5432	36.1162	1
120.213244	35.971663	1
119.744725	36.115166	1
120.4081576	36.2134079	1
119.6844	36.7715	1
120.4856	36.3225	1
120.278128	36.339814	1
120.0051	36.0768	1
120.267844	36.318041	1
120.1263024	35.9986192	1
120.4044466	36.0669062	1
120.007687	36.272981	1
120.028185	36.271294	1
119.985576	36.281155	1
120.393728	36.181698	1
120.135821	35.914598	1
120.583475	36.6517	1
120.4547	36.1817	1
120.0019	36.2615	3
120.330467	36.324867	1
120.028798	36.096546	1
120.1422	35.9991	1
120.4631	36.141	1
120.500141	36.888641	1
120.708592	36.506088	1
120.443	36.3545	1
120.333611	36.089293	6
120.170214	36.329456	1
119.989	35.8746	1
120.3949	36.1011	1
119.954413	36.074115	1
120.419777	36.306559	1
120.0092467	36.0773985	1
120.395	36.0656	1
119.6874	36.9248	1
120.2247	36.263	1
120.4161	36.3222	1
120.0753	36.6852	1
120.408591	36.182903	1
120.4094813	36.2459077	1
120.431508	36.118016	1
120.4606	36.5199	1
120.0729	36.8529	1
120.5123	36.4263	2
120.3667	36.1077	1
120.2772366	36.3743465	1
120.3718	36.1058	1
120.108755	36.326965	1
119.890681	36.733714	1
119.927552	36.270007	1
120.0078	35.8559	1
119.9674	36.2552	1
120.3484847	36.3795185	1
120.366305	36.097352	1
119.8223	36.7977	1
119.9843	35.8802	1
120.2252	35.9638	1
120.3353	36.403	1
120.236862	36.261822	1
119.963055	36.355679	1
119.900729	36.260585	1
120.336853	36.716167	1
120.989576	36.487512	1
120.3688534	36.1093902	1
119.9805637	36.7967776	1
120.4486163	36.314821	1
120.364381	36.261205	1
120.359523	36.316486	1
120.523498	36.8547192	1
120.2939	36.3609	1
120.3605	36.1232	1
120.166425	36.001376	1
120.2900757	35.9821018	1
120.1112	36.3435	1
120.4780767	36.1736914	1
120.3565	36.0846	1
120.5082	36.1671	1
120.4231912	36.1191637	1
120.3849056	36.1145074	1
120.4950635	36.3106936	1
119.675	36.619	1
120.0537	35.8857	1
120.2179	35.962	1
120.5297	36.2645	1
119.6253	36.9223	1
120.0044683	36.0160121	1
120.360912	36.105651	1
120.388934	36.333673	1
120.0706	35.8978	1
120.3665	36.0989	1
120.445878	36.396755	1
120.434842	36.158189	1
119.788112	35.706065	1
120.0708	35.9504	1
119.725186	36.129526	1
120.4514	36.4158	1
120.157504	36.001519	1
120.196	36.408	1
120.3370776	36.7157015	1
119.6481578	36.7692293	1
120.032035	36.276356	1
120.5228716	36.8549243	1
120.384258	36.364008	1
120.5428	36.497	1
120.4138	36.3048	1
119.6304	36.8538	1
120.5290332	36.8888764	1
120.385406	36.331467	1
120.4118357	36.2829357	1
120.4171	36.1531	1
120.409943	36.288016	1
120.3813322	36.063383	1
120.2428478	36.322439	1
120.3621232	36.3767665	1
120.3998085	36.3887866	1
120.1465	35.9771	1
120.0827	36.1436	1
120.411186	36.172488	1
120.21649	35.943554	2
119.950177	36.829035	1
119.731277	36.919864	1
120.501104	36.171962	1
120.377618	36.131147	1
120.4421498	36.408909	1
